service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
97239,0,0,0,0,0,0,1,20140101,20170101
97240,0,0,0,0,0,1,0,20140101,20170101
97241,0,0,0,0,0,1,0,20140101,20170101
97242,0,0,0,0,0,1,0,20140101,20170101
97243,1,1,1,1,1,0,0,20140101,20170101
97244,0,0,0,0,0,0,1,20140101,20170101
97245,0,0,0,0,0,1,0,20140101,20170101
97246,1,1,1,1,1,0,0,20140101,20170101
97247,1,1,1,1,1,0,0,20140101,20170101
97248,0,0,0,0,0,1,0,20140101,20170101
97249,1,1,1,1,1,0,0,20140101,20170101
97250,0,0,0,0,0,0,1,20140101,20170101
97251,1,1,1,1,1,0,0,20140101,20170101
97252,1,1,1,1,1,0,0,20140101,20170101
97253,1,1,1,1,1,0,0,20140101,20170101
97254,1,1,1,1,1,0,0,20140101,20170101
97255,1,1,1,1,1,0,0,20140101,20170101
97256,1,1,1,1,1,0,0,20140101,20170101
97257,0,0,0,0,0,1,0,20140101,20170101
97258,0,0,0,0,0,1,0,20140101,20170101
97259,0,0,0,0,0,1,0,20140101,20170101
97260,0,0,0,0,0,1,0,20140101,20170101
97261,0,0,0,0,0,1,0,20140101,20170101
97262,0,0,0,0,0,0,1,20140101,20170101
97263,0,0,0,0,0,0,1,20140101,20170101
97264,0,0,0,0,0,0,1,20140101,20170101
97265,1,1,1,1,1,0,0,20140101,20170101
97266,0,0,0,0,0,1,0,20140101,20170101
97267,0,0,0,0,0,1,0,20140101,20170101
97268,0,0,0,0,0,1,0,20140101,20170101
97269,1,1,1,1,1,0,0,20140101,20170101
97270,1,1,1,1,1,0,0,20140101,20170101
97271,0,0,0,0,0,1,0,20140101,20170101
97272,1,1,1,1,1,0,0,20140101,20170101
97273,1,1,1,1,1,0,0,20140101,20170101
97274,0,0,0,0,0,1,0,20140101,20170101
97275,0,0,0,0,0,0,1,20140101,20170101
97276,0,0,0,0,0,1,0,20140101,20170101
97277,1,1,1,1,1,0,0,20140101,20170101
97278,1,1,1,1,1,0,0,20140101,20170101
97279,0,0,0,0,0,1,0,20140101,20170101
97280,0,0,0,0,0,1,0,20140101,20170101
97281,0,0,0,0,0,1,0,20140101,20170101
97282,1,1,1,1,1,0,0,20140101,20170101
97283,1,1,1,1,1,0,0,20140101,20170101
97284,0,0,0,0,0,0,1,20140101,20170101
97285,1,1,1,1,1,0,0,20140101,20170101
97286,0,0,0,0,0,0,1,20140101,20170101
97287,0,0,0,0,0,1,0,20140101,20170101
97288,0,0,0,0,0,0,1,20140101,20170101
97289,0,0,0,0,0,0,1,20140101,20170101
97290,0,0,0,0,0,0,1,20140101,20170101
97291,0,0,0,0,0,0,1,20140101,20170101
97292,0,0,0,0,0,0,1,20140101,20170101
97293,1,1,1,1,1,0,0,20140101,20170101
97294,0,0,0,0,0,1,0,20140101,20170101
97295,0,0,0,0,0,0,1,20140101,20170101
97296,1,1,1,1,1,0,0,20140101,20170101
97297,0,0,0,0,0,1,0,20140101,20170101
97298,0,0,0,0,0,0,1,20140101,20170101
97299,0,0,0,0,0,1,0,20140101,20170101
97300,0,0,0,0,0,0,1,20140101,20170101
97301,1,1,1,1,1,0,0,20140101,20170101
97302,0,0,0,0,0,0,1,20140101,20170101
97303,0,0,0,0,0,1,0,20140101,20170101
97304,1,1,1,1,1,0,0,20140101,20170101
97305,1,1,1,1,1,0,0,20140101,20170101
97306,0,0,0,0,0,1,0,20140101,20170101
97307,1,1,1,1,1,0,0,20140101,20170101
97308,1,1,1,1,1,0,0,20140101,20170101
97309,1,1,1,1,1,0,0,20140101,20170101
97310,1,1,1,1,1,0,0,20140101,20170101
97311,1,1,1,1,1,0,0,20140101,20170101
97312,0,0,0,0,0,1,0,20140101,20170101
97313,0,0,0,0,0,1,0,20140101,20170101
97314,0,0,0,0,0,1,0,20140101,20170101
97315,0,0,0,0,0,1,0,20140101,20170101
97316,0,0,0,0,0,1,0,20140101,20170101
97317,0,0,0,0,0,0,1,20140101,20170101
97318,0,0,0,0,0,0,1,20140101,20170101
97319,0,0,0,0,0,0,1,20140101,20170101
97320,0,0,0,0,0,0,1,20140101,20170101
97321,1,1,1,1,1,0,0,20140101,20170101
97322,0,0,0,0,0,1,0,20140101,20170101
97323,1,1,1,1,1,0,0,20140101,20170101
97324,0,0,0,0,0,1,0,20140101,20170101
97325,0,0,0,0,0,1,0,20140101,20170101
97326,0,0,0,0,0,0,1,20140101,20170101
97327,0,0,0,0,0,1,0,20140101,20170101
97328,1,1,1,1,1,0,0,20140101,20170101
97329,1,1,1,1,1,0,0,20140101,20170101
97330,0,0,0,0,0,0,1,20140101,20170101
97331,0,0,0,0,0,0,1,20140101,20170101
97332,1,1,1,1,1,0,0,20140101,20170101
97333,1,1,1,1,1,0,0,20140101,20170101
97334,1,1,1,1,1,0,0,20140101,20170101
97335,1,1,1,1,1,0,0,20140101,20170101
97336,0,0,0,0,0,1,0,20140101,20170101
97337,0,0,0,0,0,1,0,20140101,20170101
97338,0,0,0,0,0,1,0,20140101,20170101
97339,0,0,0,0,0,1,0,20140101,20170101
97340,0,0,0,0,0,0,1,20140101,20170101
97341,0,0,0,0,0,0,1,20140101,20170101
97342,0,0,0,0,0,0,1,20140101,20170101
97343,0,0,0,0,0,0,1,20140101,20170101
97344,0,0,0,0,0,0,1,20140101,20170101
97345,0,0,0,0,0,1,0,20140101,20170101
97346,0,0,0,0,0,1,0,20140101,20170101
97347,1,1,1,1,1,0,0,20140101,20170101
97348,0,0,0,0,0,1,0,20140101,20170101
97349,0,0,0,0,0,0,1,20140101,20170101
97350,0,0,0,0,0,1,0,20140101,20170101
97351,0,0,0,0,0,1,0,20140101,20170101
97352,1,1,1,1,1,0,0,20140101,20170101
