trip_id,start_time,end_time,headway_secs,exact_times
97239,15:00:00,21:00:00,720,0
97240,15:00:00,19:00:00,720,0
97241,13:00:00,15:00:00,900,0
97242,06:00:00,08:00:00,600,0
97243,13:00:00,15:00:00,720,0
97244,13:00:00,15:00:00,900,0
97245,08:00:00,13:00:00,720,0
97246,15:00:00,19:00:00,600,0
97247,06:00:00,08:00:00,480,0
97248,19:00:00,21:00:00,720,0
97249,08:00:00,13:00:00,600,0
97250,06:00:00,13:00:00,720,0
97251,19:00:00,21:00:00,600,0
97252,06:00:00,08:00:00,480,0
97253,08:00:00,13:00:00,600,0
97254,13:00:00,15:00:00,720,0
97255,15:00:00,19:00:00,600,0
97256,19:00:00,21:00:00,600,0
97257,06:00:00,08:00:00,600,0
97258,08:00:00,13:00:00,720,0
97259,13:00:00,15:00:00,900,0
97260,15:00:00,19:00:00,720,0
97261,19:00:00,21:00:00,720,0
97262,06:00:00,13:00:00,720,0
97263,13:00:00,15:00:00,900,0
97264,15:00:00,21:00:00,720,0
97265,06:00:00,08:00:00,480,0
97266,06:00:00,08:00:00,600,0
97267,08:00:00,13:00:00,720,0
97268,19:00:00,21:00:00,720,0
97269,15:00:00,19:00:00,600,0
97270,08:00:00,13:00:00,600,0
97271,13:00:00,15:00:00,900,0
97272,13:00:00,15:00:00,720,0
97273,19:00:00,21:00:00,600,0
97274,15:00:00,19:00:00,720,0
97275,08:00:00,16:00:00,900,0
97276,15:00:00,19:00:00,720,0
97277,19:00:00,21:00:00,600,0
97278,13:00:00,15:00:00,720,0
97279,08:00:00,13:00:00,720,0
97280,13:00:00,15:00:00,900,0
97281,06:00:00,08:00:00,600,0
97282,15:00:00,19:00:00,600,0
97283,08:00:00,13:00:00,600,0
97284,19:00:00,21:00:00,900,0
97285,06:00:00,08:00:00,480,0
97286,06:00:00,08:00:00,720,0
97287,19:00:00,21:00:00,720,0
97288,16:00:00,19:00:00,720,0
97289,06:00:00,08:00:00,720,0
97290,08:00:00,16:00:00,900,0
97291,16:00:00,19:00:00,720,0
97292,19:00:00,21:00:00,900,0
97293,16:00:00,18:00:00,480,0
97294,19:00:00,21:00:00,900,0
97295,16:00:00,19:00:00,720,0
97296,19:00:00,21:00:00,900,0
97297,06:00:00,08:00:00,600,0
97298,19:00:00,21:00:00,900,0
97299,15:00:00,19:00:00,720,0
97300,08:00:00,16:00:00,900,0
97301,18:00:00,19:00:00,720,0
97302,06:00:00,08:00:00,720,0
97303,13:00:00,15:00:00,900,0
97304,06:00:00,07:00:00,480,0
97305,07:00:00,16:00:00,720,0
97306,08:00:00,13:00:00,720,0
97307,06:00:00,07:00:00,480,0
97308,07:00:00,16:00:00,720,0
97309,16:00:00,18:00:00,480,0
97310,18:00:00,19:00:00,720,0
97311,19:00:00,21:00:00,900,0
97312,06:00:00,08:00:00,600,0
97313,08:00:00,13:00:00,720,0
97314,13:00:00,15:00:00,900,0
97315,15:00:00,19:00:00,720,0
97316,19:00:00,21:00:00,900,0
97317,06:00:00,08:00:00,720,0
97318,08:00:00,16:00:00,900,0
97319,16:00:00,19:00:00,720,0
97320,19:00:00,21:00:00,900,0
97321,17:00:00,21:00:00,900,0
97322,13:00:00,15:00:00,1200,0
97323,06:00:00,07:00:00,720,0
97324,15:00:00,20:00:00,900,0
97325,06:00:00,13:00:00,900,0
97326,07:00:00,13:00:00,900,0
97327,20:00:00,21:00:00,1200,0
97328,16:00:00,17:00:00,720,0
97329,07:00:00,16:00:00,900,0
97330,15:00:00,20:00:00,900,0
97331,13:00:00,15:00:00,1200,0
97332,06:00:00,07:00:00,720,0
97333,07:00:00,16:00:00,900,0
97334,16:00:00,17:00:00,720,0
97335,17:00:00,21:00:00,900,0
97336,06:00:00,13:00:00,900,0
97337,13:00:00,15:00:00,1200,0
97338,15:00:00,20:00:00,900,0
97339,20:00:00,21:00:00,1200,0
97340,07:00:00,13:00:00,900,0
97341,13:00:00,15:00:00,1200,0
97342,15:00:00,20:00:00,900,0
97343,13:00:00,15:00:00,900,0
97344,15:00:00,20:00:00,720,0
97345,19:00:00,20:00:00,720,0
97346,20:00:00,21:00:00,1200,0
97347,06:00:00,13:00:00,480,0
97348,15:00:00,19:00:00,600,0
97349,09:00:00,15:00:00,600,0
97350,13:00:00,15:00:00,720,0
97351,06:00:00,08:00:00,720,0
97352,20:00:00,21:00:00,900,0
97353,13:00:00,15:00:00,600,0
97354,08:00:00,13:00:00,600,0
97355,07:00:00,09:00:00,900,0
97356,15:00:00,20:00:00,480,0
97357,06:00:00,13:00:00,480,0
97358,13:00:00,15:00:00,600,0
97359,15:00:00,20:00:00,480,0
97360,20:00:00,21:00:00,900,0
97361,06:00:00,08:00:00,720,0
97362,08:00:00,13:00:00,600,0
97363,13:00:00,15:00:00,720,0
97364,15:00:00,19:00:00,600,0
97365,19:00:00,20:00:00,720,0
97366,20:00:00,21:00:00,1200,0
97367,07:00:00,09:00:00,900,0
97368,09:00:00,15:00:00,600,0
97369,13:00:00,15:00:00,900,0
97370,15:00:00,20:00:00,720,0
97371,06:00:00,08:00:00,900,0
97372,19:00:00,21:00:00,600,0
97373,15:00:00,21:00:00,900,0
97374,08:00:00,15:00:00,720,0
97375,13:00:00,15:00:00,900,0
97376,06:00:00,09:00:00,600,0
97377,15:00:00,20:00:00,720,0
97378,06:00:00,08:00:00,480,0
97379,20:00:00,21:00:00,900,0
97380,15:00:00,19:00:00,600,0
97381,09:00:00,15:00:00,720,0
97382,08:00:00,13:00:00,720,0
97383,06:00:00,08:00:00,480,0
97384,08:00:00,13:00:00,720,0
97385,13:00:00,15:00:00,900,0
97386,15:00:00,19:00:00,600,0
97387,19:00:00,21:00:00,600,0
97388,06:00:00,09:00:00,600,0
97389,09:00:00,15:00:00,720,0
97390,15:00:00,20:00:00,720,0
97391,20:00:00,21:00:00,900,0
97392,06:00:00,08:00:00,900,0
97393,08:00:00,15:00:00,720,0
97394,15:00:00,21:00:00,900,0
97395,15:00:00,19:00:00,720,0
97396,08:00:00,13:00:00,720,0
97397,19:00:00,21:00:00,900,0
97398,15:00:00,19:00:00,600,0
97399,06:00:00,09:00:00,600,0
97400,15:00:00,19:00:00,600,0
97401,19:00:00,21:00:00,900,0
97402,19:00:00,21:00:00,900,0
97403,06:00:00,08:00:00,480,0
97404,08:00:00,13:00:00,720,0
97405,06:00:00,08:00:00,900,0
97406,13:00:00,15:00:00,900,0
97407,13:00:00,15:00:00,900,0
97408,09:00:00,15:00:00,720,0
97409,06:00:00,08:00:00,480,0
97410,08:00:00,13:00:00,720,0
97411,13:00:00,15:00:00,900,0
97412,15:00:00,19:00:00,600,0
97413,19:00:00,21:00:00,900,0
97414,06:00:00,09:00:00,600,0
97415,09:00:00,15:00:00,720,0
97416,15:00:00,19:00:00,600,0
97417,19:00:00,21:00:00,900,0
97418,06:00:00,08:00:00,900,0
97419,08:00:00,13:00:00,720,0
97420,13:00:00,15:00:00,900,0
97421,15:00:00,19:00:00,720,0
97422,19:00:00,21:00:00,900,0
97423,06:00:00,07:00:00,720,0
97424,20:00:00,21:00:00,1200,0
97425,15:00:00,20:00:00,720,0
97426,17:00:00,21:00:00,900,0
97427,13:00:00,15:00:00,1200,0
97428,06:00:00,13:00:00,720,0
97429,07:00:00,13:00:00,900,0
97430,15:00:00,20:00:00,900,0
97431,07:00:00,16:00:00,900,0
97432,16:00:00,17:00:00,720,0
97433,13:00:00,15:00:00,900,0
97434,06:00:00,07:00:00,720,0
97435,07:00:00,16:00:00,900,0
97436,16:00:00,17:00:00,720,0
97437,17:00:00,21:00:00,900,0
97438,06:00:00,13:00:00,720,0
97439,13:00:00,15:00:00,900,0
97440,15:00:00,20:00:00,720,0
97441,20:00:00,21:00:00,1200,0
97442,07:00:00,13:00:00,900,0
97443,13:00:00,15:00:00,1200,0
97444,15:00:00,20:00:00,900,0
97445,13:00:00,15:00:00,1200,0
97446,07:00:00,08:00:00,1200,0
97447,06:00:00,08:00:00,480,0
97448,08:00:00,13:00:00,720,0
97449,19:00:00,21:00:00,900,0
97450,15:00:00,19:00:00,720,0
97451,08:00:00,13:00:00,900,0
97452,15:00:00,19:00:00,600,0
97453,15:00:00,19:00:00,900,0
97454,06:00:00,08:00:00,720,0
97455,19:00:00,20:00:00,900,0
97456,19:00:00,20:00:00,1200,0
97457,13:00:00,15:00:00,900,0
97458,08:00:00,15:00:00,900,0
97459,06:00:00,08:00:00,480,0
97460,08:00:00,13:00:00,720,0
97461,13:00:00,15:00:00,900,0
97462,15:00:00,19:00:00,600,0
97463,19:00:00,21:00:00,900,0
97464,06:00:00,08:00:00,720,0
97465,08:00:00,15:00:00,900,0
97466,15:00:00,19:00:00,720,0
97467,19:00:00,20:00:00,900,0
97468,07:00:00,08:00:00,1200,0
97469,08:00:00,13:00:00,900,0
97470,13:00:00,15:00:00,1200,0
97471,15:00:00,19:00:00,900,0
97472,19:00:00,20:00:00,1200,0
97473,08:00:00,20:00:00,1200,0
97474,07:00:00,21:00:00,1200,0
97475,16:00:00,21:00:00,900,0
97476,13:00:00,16:00:00,1200,0
97477,07:00:00,13:00:00,900,0
